relative_path,absolute_path,filename,extension,size_bytes,size_human,modified_time,first_level_folder,second_level_folder,depth
node_modules\uri-js\dist\es5\uri.all.min.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\uri-js\dist\es5\uri.all.min.js.map,uri.all.min.js.map,.map,83083,81.14 KB,2026-06-06 16:54:22,node_modules,node_modules\uri-js,4
node_modules\zod\src\v4\classic\tests\string.test.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v4\classic\tests\string.test.ts,string.test.ts,.ts,80260,78.38 KB,2026-06-06 16:54:25,node_modules,node_modules\zod,6
node_modules\esquery\parser.js,C:\Users\Luis\Desktop\das4navy\node_modules\esquery\parser.js,parser.js,.js,79242,77.38 KB,2026-06-06 16:54:21,node_modules,node_modules\esquery,2
node_modules\rolldown\dist\shared\bindingify-input-options-ClrST5Xx.mjs,C:\Users\Luis\Desktop\das4navy\node_modules\rolldown\dist\shared\bindingify-input-options-ClrST5Xx.mjs,bindingify-input-options-ClrST5Xx.mjs,.mjs,76882,75.08 KB,2026-06-06 16:54:21,node_modules,node_modules\rolldown,4
node_modules\@babel\generator\lib\printer.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\generator\lib\printer.js.map,printer.js.map,.map,75012,73.25 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,4
node_modules\eslint\lib\linter\code-path-analysis\code-path-state.js,C:\Users\Luis\Desktop\das4navy\node_modules\eslint\lib\linter\code-path-analysis\code-path-state.js,code-path-state.js,.js,71730,70.05 KB,2026-06-06 16:54:22,node_modules,node_modules\eslint,5
node_modules\rolldown\dist\utils-index.mjs,C:\Users\Luis\Desktop\das4navy\node_modules\rolldown\dist\utils-index.mjs,utils-index.mjs,.mjs,70355,68.71 KB,2026-06-06 16:54:22,node_modules,node_modules\rolldown,3
node_modules\.vite\deps\react-DiA8Tu0S.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\.vite\deps\react-DiA8Tu0S.js.map,react-DiA8Tu0S.js.map,.map,68649,67.04 KB,2026-06-06 16:54:29,node_modules,node_modules\.vite,3
node_modules\eslint\lib\rules\indent.js,C:\Users\Luis\Desktop\das4navy\node_modules\eslint\lib\rules\indent.js,indent.js,.js,66474,64.92 KB,2026-06-06 16:54:22,node_modules,node_modules\eslint,4
node_modules\.package-lock.json,C:\Users\Luis\Desktop\das4navy\node_modules\.package-lock.json,.package-lock.json,.json,65810,64.27 KB,2026-06-06 16:55:09,node_modules,node_modules,1
node_modules\zod\src\v3\tests\string.test.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v3\tests\string.test.ts,string.test.ts,.ts,65633,64.09 KB,2026-06-06 16:54:25,node_modules,node_modules\zod,5
node_modules\eslint-scope\dist\eslint-scope.cjs,C:\Users\Luis\Desktop\das4navy\node_modules\eslint-scope\dist\eslint-scope.cjs,eslint-scope.cjs,.cjs,64832,63.31 KB,2026-06-06 16:54:21,node_modules,node_modules\eslint-scope,3
node_modules\rolldown\dist\shared\binding-BaCZTfMx.d.mts,C:\Users\Luis\Desktop\das4navy\node_modules\rolldown\dist\shared\binding-BaCZTfMx.d.mts,binding-BaCZTfMx.d.mts,.mts,63382,61.90 KB,2026-06-06 16:54:22,node_modules,node_modules\rolldown,4
node_modules\hermes-estree\dist\generated\predicates.js,C:\Users\Luis\Desktop\das4navy\node_modules\hermes-estree\dist\generated\predicates.js,predicates.js,.js,62068,60.61 KB,2026-06-06 16:54:21,node_modules,node_modules\hermes-estree,4
node_modules\zod\src\v4\mini\schemas.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v4\mini\schemas.ts,schemas.ts,.ts,61288,59.85 KB,2026-06-06 16:54:25,node_modules,node_modules\zod,5
node_modules\eslint\lib\rule-tester\rule-tester.js,C:\Users\Luis\Desktop\das4navy\node_modules\eslint\lib\rule-tester\rule-tester.js,rule-tester.js,.js,60681,59.26 KB,2026-06-06 16:54:23,node_modules,node_modules\eslint,4
node_modules\@babel\traverse\lib\path\conversion.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\traverse\lib\path\conversion.js.map,conversion.js.map,.map,59770,58.37 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,5
node_modules\hermes-parser\dist\HermesParserNodeDeserializers.js,C:\Users\Luis\Desktop\das4navy\node_modules\hermes-parser\dist\HermesParserNodeDeserializers.js,HermesParserNodeDeserializers.js,.js,58931,57.55 KB,2026-06-06 16:54:21,node_modules,node_modules\hermes-parser,3
node_modules\json5\dist\index.js,C:\Users\Luis\Desktop\das4navy\node_modules\json5\dist\index.js,index.js,.js,58620,57.25 KB,2026-06-06 16:54:21,node_modules,node_modules\json5,3
node_modules\uri-js\dist\es5\uri.all.js,C:\Users\Luis\Desktop\das4navy\node_modules\uri-js\dist\es5\uri.all.js,uri.all.js,.js,57304,55.96 KB,2026-06-06 16:54:21,node_modules,node_modules\uri-js,4
node_modules\zod\v4\classic\schemas.cjs,C:\Users\Luis\Desktop\das4navy\node_modules\zod\v4\classic\schemas.cjs,schemas.cjs,.cjs,56344,55.02 KB,2026-06-06 16:54:22,node_modules,node_modules\zod,4
node_modules\minimatch\dist\esm\ast.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\minimatch\dist\esm\ast.js.map,ast.js.map,.map,56089,54.77 KB,2026-06-06 16:54:22,node_modules,node_modules\minimatch,4
node_modules\minimatch\dist\commonjs\ast.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\minimatch\dist\commonjs\ast.js.map,ast.js.map,.map,56074,54.76 KB,2026-06-06 16:54:22,node_modules,node_modules\minimatch,4
node_modules\@babel\types\lib\definitions\core.js,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\definitions\core.js,core.js,.js,55646,54.34 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,5
node_modules\electron-to-chromium\full-versions.js,C:\Users\Luis\Desktop\das4navy\node_modules\electron-to-chromium\full-versions.js,full-versions.js,.js,54947,53.66 KB,2026-06-06 16:54:21,node_modules,node_modules\electron-to-chromium,2
node_modules\zod\src\v4\core\api.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v4\core\api.ts,api.ts,.ts,54893,53.61 KB,2026-06-06 16:54:23,node_modules,node_modules\zod,5
node_modules\@eslint\config-array\dist\cjs\std__path\windows.cjs,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint\config-array\dist\cjs\std__path\windows.cjs,windows.cjs,.cjs,54516,53.24 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint,6
node_modules\vite\dist\node\module-runner.js,C:\Users\Luis\Desktop\das4navy\node_modules\vite\dist\node\module-runner.js,module-runner.js,.js,54198,52.93 KB,2026-06-06 16:54:22,node_modules,node_modules\vite,4
node_modules\@eslint\config-array\dist\esm\std__path\windows.js,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint\config-array\dist\esm\std__path\windows.js,windows.js,.js,54093,52.83 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint,6
